Study ID,Condition,Testing Date,DOB,Trial 1a Explanation OR Description Choice,Trial 1b Explanation OR Description Choice,Trial 2a Explanation OR Description Choice,Trial 2b Explanation OR Description Choice,Trial 3a Explanation OR Description Choice,Trial 3b Explanation OR Description Choice,Trial 4a Explanation OR Description Choice,Trial 4b Explanation OR Description Choice,Trial 5a Explanation OR Description Choice,Trial 5b Explanation OR Description Choice,Trial 6a Explanation OR Description Choice,Trial 6b Explanation OR Description Choice
P1,Explanation,8/24/13,11/29/07,I don't know,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same,Because it's the same
P2,Explanation,8/24/13,12/17/07,Bc they both have pointy sides,Bc they both have straight lines,Bc they both have sides,Bc they both have the same but there's one there (O) and 2 there (S)/,Bc they both have sides,Bc they're almost the same only this one is small (R) and this one is big (S),Bc this has pointy sides and so does that one,Bc this one is the same as this one (pointed to object on O and matching ones on S),Bc they're almost triangles,Bc they're almost the same,Bc they're both the same,Bc they're both the same
P3,Explanation,8/24/13,7/23/08,Bc they look alike,Bc they're almost the same shape,Bc they look alike,Bc they look alike,Bc they look alike,Bc that one's an 'O' and that one looks like it,Bc they look alike,Bc they look alike,Bc they look alike,Bc they look alike,Bc they look alike,Bc they look alike
P4,Explanation,8/27/13,2/8/07,Bc on the card they're the same shapes and they're 2 of them so they go together,For exactly the same reason as before except they're different shapes,Bc it's a circle like another and then two thin windows and the same like the other,Exactly the same as all the others; pretty much the same reason,Bc 2 of the exact and 2 of the exact,Bc 2 of the exact same and 2 of the exact same,Bc 2 and 2,Bc of the exact same reason,Bc these 2 and these 2 and they go together,Bc 2 baseball plates and 2 triangles and they're 2 of them on the card so they go together,"Bc of these and these two, and two, they go together",The exactly the same as the others
P5,Explanation,8/27/13,3/19/07,Bc these 2 are the same thing and these 2 are the same but those 2 are different,Bc these 2 are the same and these 2 are but those 2 aren't,Bc this is the same as this but these (R and O) aren't the same,Bc this has a flat (S) and this has a round (R) but these two different ones just have flats,Bc this (O) has this (diamond) which is same as (S) but this is not the same as this (S),Bc these 2 are the same (R) and these are the same(S) but those 2 aren't,Bc these 2 both have curves but this card only one has a curve (O),Bc that and that are the same but those 2 aren't,Bc these 2 are the same and these 2 are but those 2 aren't,Bc these 2 sides are the same and these 2 are but 2 those aren't (O),Bc these 3 are the same but these aren't,Bc this has a curve and this only has a straight but these only have straight lines
P11,Explanation,11/8/13,4/4/07,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.,Bc they're both the same shapes.
13,Explanation,2/2/14,3/19/09,Because they're the same,because they both have the same shapes,because they both have shaped that match,Because these two match (s) and these 2 match (S),Because it's the same,They're both the same,They're the same,because they match,Because they're the same,Because they match,Because they match,Because they match
15,Explanation,2/8/14,10/8/07,Because they're the same,Because they both have same shape and they're both rectangles,Because they're both these two compared to these two,"Because the two match and these two match, and they're both rectangles",Because they're both the same,Because they're both the same,Because they match,Because they match,because they are both the same,because they are both the same,Because they match,It matches
16,Explanation,3/5/14,2/2/09,Because the two match ( R & S),two of the same thing on each cards,Because these two shapes match,it has two of the same thing,Because this card has two of the same thing,Because this card has two of the same thing,Because these two shapes are the same,two of the same thing,"because this one has two of these, ® and this one too (S)",Because these two match,because they have 2 of the same thing,"two of the shapes are the same, so is the main one"
19,Explanation,3/16/14,6/6/08,Because they're the same ( 2 squares and 2 circles),Because they're both double and both double,Because they're both double and both double,Because they're both double ( 2 triangles match and 2 triangles match),Because they're both double and both double,Because they're both double,Because they're both double,Because they're both double,Because they're both double,Because they're both double,Because they're both double,Because both double
