Study ID,Condition,Testing Date,DOB,Trial 1a Explanation OR Description Choice,Trial 1b Explanation OR Description Choice,Trial 2a Explanation OR Description Choice,Trial 2b Explanation OR Description Choice,Trial 3a Explanation OR Description Choice,Trial 3b Explanation OR Description Choice,Trial 4a Explanation OR Description Choice,Trial 4b Explanation OR Description Choice,Trial 5a Explanation OR Description Choice,Trial 5b Explanation OR Description Choice,Trial 6a Explanation OR Description Choice,Trial 6b Explanation OR Description Choice
P1,Explanation,8/24/13,11/29/07,4,2,2,2,2,2,2,2,2,2,2,2
P2,Explanation,8/24/13,12/17/07,1,1,1,1,1,1,1,1,1,1,2,2
P3,Explanation,8/24/13,7/23/08,2,1,2,2,2,1,2,2,2,2,2,2
P4,Explanation,8/27/13,2/8/07,2,2,1,3,2,2,2,2,2,2,2,2
P5,Explanation,8/27/13,3/19/07,2,2,2,1,1,2,1,2,2,2,1,1
P11,Explanation,11/8/13,4/4/07,2,2,2,2,2,2,2,2,2,2,2,2
13,Explanation,2/2/14,3/19/09,2,2,2,2,2,2,2,2,2,2,2,2
15,Explanation,2/8/14,10/8/07,2,2,2,2,2,2,2,2,2,2,2,2
16,Explanation,3/5/14,2/2/09,2,2,2,2,2,2,2,2,2,2,2,2
19,Explanation,3/16/14,6/6/08,2,2,2,2,2,2,2,2,2,2,2,2
21,Explanation,3/16/14,4/23/07,2,2,2,2,2,2,2,2,2,2,2,2
22,Explanation,3/16/14,10/17/08,2,2,2,1,2,2,2,2,2,1,2,2
23,Explanation,3/16/14,6/27/07,4,4,4,4,4,1,1,1,2,1,1,1
24,Explanation,3/16/14,10/21/07,3,4,3,3,1,3,3,3,3,3,3,3
25,Explanation,3/29/14,12/28/08,2,3,2,2,2,2,2,2,2,2,2,2
27,Explanation,3/29/14,6/1/07,2,2,2,2,2,2,2,2,2,2,2,2
28,Explanation,3/29/14,8/29/08,2,1,2,2,1,1,3,1,1,1,1,1
29,Explanation,3/29/14,2/9/09,4,3,3,3,3,1,1,3,1,3,3,3
30,Explanation,3/29/14,9/26/08,3,3,1,1,3,1,1,1,1,1,1,1
49,Explanation,5/2/14,3/13/08,2,2,1,1,2,2,2,2,2,2,2,2
50,Explanation,5/2/14,10/11/08,3,3,1,1,1,3,3,3,1,3,1,1
52,Explanation,5/2/14,3/14/08,2,2,2,2,2,2,2,2,2,2,2,2
54,Explanation,5/2/14,6/26/07,2,2,1,3,1,1,1,1,1,1,1,1
